test,predict
4.222,3.7358425
4.002444444,3.750368
3.968111111,3.7299845
3.682666667,3.4124143
3.523333333,3.1886358
3.397777778,3.1600497
3.394666667,3.2109954
3.356888889,3.2178533
3.368555556,3.2245433
3.2877499999999995,3.1284666
3.325333333,3.1410017
3.407888889,3.2040627
3.1891111109999994,3.0965245
3.146,2.961768
3.026111111,3.1090803
3.017888889,3.2410097
2.975,3.235049
3.088555556,3.2554884
2.954666667,3.2451422
3.045555556,3.0708115
2.923111111,3.0628536
2.993111111,3.0657225
2.979,3.0551784
