test,predict
3.6432222219999995,3.357361
3.383777778,3.3873785
3.339777778,3.4519744
4.044,3.4823747
3.680888889,3.42038
3.424777778,3.1905408
3.466111111,3.177956
3.470333333,3.102693
3.522222222,3.1512196
3.398666667,3.2993302
3.265777778,3.3381333
3.177222222,3.2308187
3.268555556,3.1081269
3.263222222,2.9622974
3.061888889,3.0176125
3.212666667,3.3822062
3.219111111,3.5458477
3.1401111110000004,3.4057748
3.081222222,3.0534885
3.1951111110000006,2.7940435
3.164777778,2.6577678
3.287888889,2.7124386
3.361111111,2.7213836
