test,predict
3.734555556,3.4784276
3.671111111,3.4283526
3.699111111,3.452745
3.3363333330000002,3.413165
3.146777778,3.2218957
3.118444444,3.1705217
3.182444444,3.221493
3.117555556,2.9904218
3.013111111,2.9604132
2.955,3.1044316
3.040888889,3.009665
2.963111111,3.1580238
3.143555556,3.1498787
3.1022222219999995,3.0529034
3.076444444,3.0873663
3.000555556,3.20413
2.923888889,3.1242795
3.022666667,3.2925022
3.02,3.1842663
3.118222222,3.1527581
3.019666667,3.0206058
3.158,2.979518
3.036444444,2.9678674
