kf, avg-mse, std-mse, avg-mae, std-mae, avg-mape, std-mape, avg-r2, std-r2
1,0.12637221689843478,0.0172716315203266,0.301014085760689,0.02951451820431021,0.0920089178684382,0.010122713573140015,0.2041149496842837,0.10877575513799431
2,0.1324452936454482,0.06003711232246544,0.2500125064099471,0.039869962972513565,0.08401771972658799,0.014413984788196227,-0.6876271876733349,0.7649970809534506
3,0.08520145582644174,0.012183897681870332,0.23528694251449447,0.02294834149672576,0.07006619498022879,0.006665911479649057,-0.793563459821029,0.2564814587783012
4,0.1065065030321363,0.002982728740060633,0.269726528922169,0.006485524852270142,0.08315777074776329,0.0020209714292681014,0.15412210786483688,0.023688922531727354
5,0.034216096976228697,0.01041294933742481,0.15394403652348312,0.02397182715110072,0.04887948404804513,0.00788519546224382,0.3444629049909094,0.19949892484448598
6,0.04972732308876703,0.013553588477066936,0.1962995752276176,0.023973336763846567,0.05963712734267392,0.007827686572164275,0.6033083235716201,0.10812155975077167
7,0.15042762685691752,0.016559947987629883,0.2680936067854131,0.012512163089066624,0.07556762223619848,0.0034807679691025196,-0.12295803624342061,0.12362175127691236
8,0.06407901555514231,0.015855031132792064,0.19792862127039218,0.02916529328152936,0.05862393729589251,0.008573730822085176,0.21340820867058258,0.1946259197692335
