test,predict
3.621444444,3.8092728
3.893555556,3.8712473
3.872444444,3.8666017
3.478777778,3.9266732
3.532222222,3.9359276
3.648,3.0995488
3.481777778,3.0373316
3.506666667,3.0269642
3.179333333,3.1441832
3.313111111,3.0980344
3.300666667,3.0410013
3.373333333,3.0935893
3.3034444440000006,3.1141493
2.935666667,3.0365763
3.136444444,2.9921603
3.193333333,2.910448
3.019444444,2.9356349
2.970666667,2.889011
2.930666667,2.9171896
3.073555556,3.024362
3.0666666670000002,3.3216906
3.059333333,2.9889598
2.94,3.0481102
