test,predict
3.594333333,3.6786633
3.756555556,3.5021815
3.578666667,3.231697
3.8262222219999997,3.385761
3.568,3.562535
3.4548888889999994,3.3285353
3.328888889,3.1240697
3.435555556,3.1627078
3.204111111,3.1091824
3.068444444,3.2389164
3.132333333,3.2476459
3.177444444,3.3506072
3.168111111,3.2958786
3.5284444439999993,3.200649
3.7358888889999995,3.0886028
3.756444444,3.1025114
3.478,3.0746317
3.491555556,3.055925
2.904555556,3.0468931
2.812444444,3.064806
2.623222222,3.0562637
2.786333333,3.1239557
2.687777778,3.1315122
