test,predict
4.222,3.9101884
4.002444444,4.0064635
3.968111111,3.889899
3.682666667,3.2450824
3.523333333,3.2105174
3.397777778,3.13483
3.394666667,3.217707
3.356888889,3.2319589
3.368555556,3.1209664
3.2877499999999995,3.1187656
3.325333333,3.1061528
3.407888889,3.1094623
3.1891111109999994,3.001341
3.146,2.9021935
3.026111111,3.2124517
3.017888889,3.2978623
2.975,3.2426605
3.088555556,3.1678126
2.954666667,3.0961127
3.045555556,3.0611546
2.923111111,3.0670414
2.993111111,3.0533798
2.979,3.089587
