test,predict
4.222,4.01502
4.002444444,4.0617914
3.968111111,3.9317884
3.682666667,3.633745
3.523333333,3.250707
3.397777778,3.1586328
3.394666667,3.220587
3.356888889,3.1447184
3.368555556,3.0679421
3.2877499999999995,3.0839956
3.325333333,3.0847404
3.407888889,3.2448623
3.1891111109999994,3.2172706
3.146,3.03376
3.026111111,3.3284655
3.017888889,3.3439229
2.975,3.2667046
3.088555556,3.2347062
2.954666667,3.1191344
3.045555556,3.0597012
2.923111111,3.0826623
2.993111111,3.0870128
2.979,3.066174
