test,predict
3.734555556,3.40201
3.671111111,3.4440525
3.699111111,3.507604
3.3363333330000002,3.4516795
3.146777778,3.3166587
3.118444444,2.9983745
3.182444444,2.9622858
3.117555556,3.0151467
3.013111111,3.1053307
2.955,3.1461296
3.040888889,3.08824
2.963111111,3.1450825
3.143555556,3.1655624
3.1022222219999995,3.157621
3.076444444,3.1642623
3.000555556,3.240753
2.923888889,3.0504918
3.022666667,3.1732473
3.02,3.1608167
3.118222222,3.2258694
3.019666667,3.1425054
3.158,3.053376
3.036444444,2.9297335
