test,predict
3.621444444,3.622436
3.893555556,3.9140337
3.872444444,3.8599472
3.478777778,3.7979412
3.532222222,3.8232744
3.648,3.205807
3.481777778,3.1459627
3.506666667,3.1564293
3.179333333,3.3668032
3.313111111,3.2461553
3.300666667,3.1586804
3.373333333,3.164331
3.3034444440000006,3.1595008
2.935666667,3.0812457
3.136444444,3.0112092
3.193333333,2.9182682
3.019444444,2.9388988
2.970666667,2.915451
2.930666667,2.9659836
3.073555556,3.0377207
3.0666666670000002,3.1836953
3.059333333,3.0214906
2.94,3.0525975
