test,predict
3.546444444,3.6871333
3.666222222,3.6888418
3.271777778,3.5860405
3.419888889,3.6130192
3.2675555560000005,3.462866
3.297333333,3.321135
3.220222222,3.41777
3.066444444,3.2396078
3.261555556,3.1584237
3.442888889,3.2203608
3.465555556,3.6738772
3.334333333,3.6021683
3.401333333,3.1667929
3.192333333,3.183724
3.067,2.99126
2.997222222,2.869106
2.784222222,2.9146023
2.89,2.9642334
2.818777778,3.1192412
2.868555556,3.0088258
2.731222222,3.5928857
2.762777778,3.8319204
2.698666667,3.578186
